atmid,datetime,seg_st_mea,NAME,ROUTE_ID,month,day,hour,year
3608571701,10/17/2021 17:24,191.624,Poweshiek,S001910080E,10,17,17,2021
3608885055,10/17/2021 18:17,114.3618,Poweshiek,S001910080W,10,17,18,2021
3617012506,10/18/2021 12:28,5.3277,Scott,S001910074E,10,18,12,2021
3620004533,10/18/2021 19:09,186.0267,Dallas,S001910080W,10,18,19,2021
3622943794,10/19/2021 1:46,67.1419,Johnson,S001910080W,10,19,1,2021
3626461628,10/19/2021 9:42,181.9389,Polk,S001910080W,10,19,9,2021
3635158610,10/20/2021 5:19,0.0765,Polk,S001910235E,10,20,5,2021
3638141280,10/20/2021 12:01,53.0652,Pottawattamie,S001910029N,10,20,12,2021
3638845652,10/20/2021 13:35,1.47,Scott,S001910280W,10,20,13,2021
3640266442,10/20/2021 16:47,8.6277,Polk,S001910235W,10,20,16,2021
3643592874,10/21/2021 9:06,73.0657,Polk,S001910035N,10,21,9,2021
3645666864,10/21/2021 13:44,68.7523,Johnson,S001910080W,10,21,13,2021
3655567717,10/22/2021 11:40,72.78,Johnson,S001910380S,10,22,11,2021
3657240413,10/22/2021 15:23,63.9604,Johnson,S001910380S,10,22,15,2021
3658063698,10/22/2021 17:11,13.4923,Linn,S001910380N,10,22,17,2021
3658212442,10/22/2021 17:30,64.33,Johnson,S001910380S,10,22,17,2021
3666504150,10/23/2021 11:45,164.5487,Polk,S001910080W,10,23,11,2021
3671488702,10/23/2021 22:43,145.9848,Woodbury,S001910029N,10,23,22,2021
3677076391,10/24/2021 11:07,179.14,Polk,S001910080W,10,24,11,2021
3678221085,10/24/2021 13:39,166.664,Polk,S001910080W,10,24,13,2021
3678450245,10/24/2021 14:09,10.1235,Polk,S001910235W,10,24,14,2021
3678647929,10/24/2021 14:36,61.9215,Warren,S001910035N,10,24,14,2021
3679061980,10/24/2021 15:30,59.9161,Warren,S001910035N,10,24,15,2021
3679307584,10/24/2021 16:03,5.5607,Polk,S001910235E,10,24,16,2021
3679483600,10/24/2021 16:26,58.9412,Warren,S001910035N,10,24,16,2021
3680108707,10/24/2021 17:49,105.5496,Story,S001910035S,10,24,17,2021
3681354220,10/24/2021 20:34,125.2967,Polk,S001910035N,10,24,20,2021
3681524735,10/24/2021 20:57,125.2967,Polk,S001910035N,10,24,20,2021
3683815668,10/25/2021 2:04,119.8876,Polk,S001910035S,10,25,2,2021
3700995622,10/26/2021 16:29,9.0456,Polk,S001910235W,10,26,16,2021
3704618700,10/27/2021 0:52,141.2774,Polk,S001910080E,10,27,0,2021
3707953084,10/27/2021 8:22,9.3364,Polk,S001910235W,10,27,8,2021
3708278634,10/27/2021 9:06,126.6456,Polk,S001910035N,10,27,9,2021
3711300607,10/27/2021 15:56,4.6738,Scott,S001910074E,10,27,15,2021
3711553702,10/27/2021 16:30,145.0155,Woodbury,S001910029N,10,27,16,2021
3711885426,10/27/2021 17:15,9.133,Polk,S001910235W,10,27,17,2021
3712076126,10/27/2021 17:41,57.9842,Johnson,S001910080W,10,27,17,2021
3714492312,10/27/2021 23:03,303.5507,Pottawattamie,S001910080W,10,27,23,2021
3718711708,10/28/2021 8:31,9.8475,Polk,S001910235W,10,28,8,2021
3719942093,10/28/2021 11:17,9.2432,Polk,S001910235W,10,28,11,2021
3721711041,10/28/2021 15:17,65.4601,Warren,S001910035N,10,28,15,2021
3722001690,10/28/2021 15:55,9.8475,Polk,S001910235W,10,28,15,2021
3722670383,10/28/2021 17:24,133.5717,Polk,S001910035N,10,28,17,2021
3723885834,10/28/2021 20:05,68.5236,Johnson,S001910080W,10,28,20,2021
3731878723,10/29/2021 13:54,2.5703,Polk,S001910235E,10,29,13,2021
3733122697,10/29/2021 16:38,136.3257,Polk,S001910035N,10,29,16,2021
3736079707,10/29/2021 23:07,10.9683,Polk,S001910235E,10,29,23,2021
3736433042,10/29/2021 23:54,137.1495,Polk,S001910035N,10,29,23,2021
3739716136,10/30/2021 7:12,66.8483,Johnson,S001910080W,10,30,7,2021
3744882482,10/30/2021 18:38,70.9384,Black Hawk,S001910380N,10,30,18,2021
3748100625,10/31/2021 1:46,20.7896,Linn,S001910380N,10,31,1,2021
3765735706,11/1/2021 17:01,62.8181,Johnson,S001910080W,11,1,17,2021
3774982368,11/2/2021 13:49,24.0822,Linn,S001910380N,11,2,13,2021
3776515050,11/2/2021 17:15,3.5238,Scott,S001910074E,11,2,17,2021
3788673285,11/3/2021 20:46,150.0466,Woodbury,S001910029N,11,3,20,2021
3795560668,11/4/2021 12:29,0.2651,Johnson,S001910380N,11,4,12,2021
3797699564,11/4/2021 17:19,294.9099,Scott,S001910080E,11,4,17,2021
3807004538,11/5/2021 14:27,141.6501,Polk,S001910080E,11,5,14,2021
3807222232,11/5/2021 14:56,170.5466,Polk,S001910080W,11,5,14,2021
3828915465,11/7/2021 15:20,108.5841,Story,S001910035S,11,7,15,2021
3831779875,11/7/2021 21:54,121.5614,Polk,S001910035S,11,7,21,2021
3838971145,11/8/2021 14:21,9.3899,Polk,S001910235W,11,8,14,2021
3846690146,11/9/2021 7:54,6.2207,Polk,S001910235E,11,9,7,2021
3850997411,11/9/2021 17:41,0.7339,Polk,S001910235E,11,9,17,2021
3851055624,11/9/2021 17:49,8.8489,Polk,S001910235E,11,9,17,2021
3851150689,11/9/2021 18:01,0.2478,Polk,S001910235E,11,9,18,2021
3851151838,11/9/2021 18:01,13.8277,Polk,S001910235W,11,9,18,2021
3851177081,11/9/2021 18:05,0.2478,Polk,S001910235E,11,9,18,2021
3851352052,11/9/2021 18:27,8.1002,Polk,S001910235E,11,9,18,2021
3857772121,11/10/2021 9:07,6.3548,Polk,S001910235W,11,10,9,2021
3858286900,11/10/2021 10:18,7.0812,Polk,S001910235E,11,10,10,2021
3859361841,11/10/2021 12:45,87.5627,Polk,S001910035N,11,10,12,2021
3861172729,11/10/2021 16:55,131.8753,Polk,S001910035N,11,10,16,2021
3862527307,11/10/2021 19:59,70.9384,Black Hawk,S001910380N,11,10,19,2021
3867034100,11/11/2021 6:37,64.7554,Johnson,S001910080W,11,11,6,2021
3872875772,11/11/2021 20:01,0.8227,Polk,S001910235W,11,11,20,2021
3876132492,11/12/2021 3:39,126.1699,Polk,S001910035N,11,12,3,2021
3877538844,11/12/2021 6:54,299.5133,Pottawattamie,S001910080W,11,12,6,2021
3878246980,11/12/2021 8:33,169.0294,Polk,S001910080W,11,12,8,2021
3880185089,11/12/2021 13:00,87.4226,Polk,S001910035N,11,12,13,2021
